index,window_offset,abs_start_sample,abs_end_sample,abs_phr_start_sample,abs_phr_end_sample,abs_payload_start_sample,abs_payload_end_sample,localization_start_sample,localization_end_sample,end_sample_source,has_precise_end_sample,time_start_ms,time_end_ms,detected_repetitions,sample_clock_error_ppm,cfo_hz,sfd_name,sfd_correlation,phr_secded_pass,psdu_length_bytes,fcs_received,fcs_calculated,fcs_pass,payload_hex
1,95900,149879,282940,251938,267816,267818,282940,147831,287036,"decoded_payload_last_chip",1,0.203286,0.383762,136,1.178604,-179.477085,"IEEE 802.15.4z SFD #2",0.872029,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
2,2308800,2362776,2495838,2464835,2480714,2480715,2495838,2360728,2499934,"decoded_payload_last_chip",1,3.204720,3.385197,136,0.000000,-237.942669,"IEEE 802.15.4z SFD #2",0.881129,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
3,4511800,4573807,4706868,4675866,4691745,4691746,4706868,4571759,4710964,"decoded_payload_last_chip",1,6.203623,6.384098,136,0.000000,-92.037205,"IEEE 802.15.4z SFD #2",0.881208,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
4,6729900,6784891,6917952,6886950,6902829,6902830,6917952,6782843,6922048,"decoded_payload_last_chip",1,9.202597,9.383073,136,0.316955,-184.336010,"IEEE 802.15.4z SFD #2",0.878069,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
5,8941800,8995998,9129059,9098057,9113935,9113937,9129059,8993950,9133155,"decoded_payload_last_chip",1,12.201603,12.382079,136,0.000000,-160.955592,"IEEE 802.15.4z SFD #2",0.881311,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
6,11147800,11201777,11334838,11303836,11319715,11319716,11334838,11199729,11338934,"decoded_payload_last_chip",1,15.193382,15.373858,136,0.316955,-147.958366,"IEEE 802.15.4z SFD #2",0.878467,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
7,13366900,13421279,13554340,13523338,13539216,13539218,13554340,13419231,13558436,"decoded_payload_last_chip",1,18.203775,18.384250,136,0.000000,-147.364646,"IEEE 802.15.4z SFD #2",0.880851,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
8,15576400,15631967,15765028,15734026,15749904,15749906,15765028,15629919,15769124,"decoded_payload_last_chip",1,21.202212,21.382688,136,0.000000,-155.032105,"IEEE 802.15.4z SFD #2",0.880951,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
9,17777908,17843653,17976714,17945712,17961591,17961592,17976714,17841605,17980810,"decoded_payload_last_chip",1,24.202003,24.382479,136,0.000000,-228.434726,"IEEE 802.15.4z SFD #2",0.880669,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
10,20010684,20065389,20198451,20167449,20183327,20183329,20198451,20063341,20202547,"decoded_payload_last_chip",1,27.215426,27.395903,136,2.683555,-52.329910,"IEEE 802.15.4z SFD #2",0.854903,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
11,22213740,22268272,22401335,22370332,22386211,22386212,22401335,22266224,22405431,"decoded_payload_last_chip",1,30.203277,30.383755,136,7.085713,-416.791232,"IEEE 802.15.4z SFD #2",0.828991,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
12,24424504,24479753,24612814,24581812,24597690,24597692,24612814,24477705,24616910,"decoded_payload_last_chip",1,33.202790,33.383266,136,2.404165,-109.710973,"IEEE 802.15.4z SFD #2",0.860615,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
13,26639400,26693305,26826367,26795365,26811243,26811244,26826367,26691257,26830463,"decoded_payload_last_chip",1,36.205112,36.385589,136,0.000000,-175.174990,"IEEE 802.15.4z SFD #2",0.880079,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
14,28849000,28902930,29035991,29004989,29020867,29020869,29035991,28900882,29040087,"decoded_payload_last_chip",1,39.202108,39.382583,136,0.000000,-237.565364,"IEEE 802.15.4z SFD #2",0.880057,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
15,31057400,31115538,31248600,31217597,31233476,31233477,31248600,31113490,31252696,"decoded_payload_last_chip",1,42.203149,42.383626,136,0.000000,-156.512632,"IEEE 802.15.4z SFD #2",0.880155,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
16,33257600,33318865,33451926,33420924,33436802,33436804,33451926,33316817,33456022,"decoded_payload_last_chip",1,45.191603,45.372078,136,-0.000000,-187.381209,"IEEE 802.15.4z SFD #2",0.880039,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
17,35479800,35538935,35671996,35640994,35656872,35656873,35671996,35536887,35676092,"decoded_payload_last_chip",1,48.202766,48.383241,136,0.000000,-87.877050,"IEEE 802.15.4z SFD #2",0.880116,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
18,37689800,37751088,37884149,37853147,37869025,37869027,37884149,37749040,37888245,"decoded_payload_last_chip",1,51.203190,51.383666,136,0.629215,-50.187107,"IEEE 802.15.4z SFD #2",0.874201,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
19,39883152,39961905,40094966,40063964,40079843,40079844,40094966,39959857,40099062,"decoded_payload_last_chip",1,54.201803,54.382278,136,0.000000,-182.858904,"IEEE 802.15.4z SFD #2",0.880224,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
20,42128200,42182140,42315201,42284199,42300078,42300079,42315201,42180092,42319297,"decoded_payload_last_chip",1,57.213189,57.393665,136,0.000000,-73.949556,"IEEE 802.15.4z SFD #2",0.880164,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
21,44332200,44386064,44519125,44488123,44504002,44504003,44519125,44384016,44523221,"decoded_payload_last_chip",1,60.202452,60.382928,136,0.000000,-164.541087,"IEEE 802.15.4z SFD #2",0.879650,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
22,46544100,46598017,46731078,46700076,46715954,46715956,46731078,46595969,46735174,"decoded_payload_last_chip",1,63.202606,63.383081,136,1.239648,-243.970753,"IEEE 802.15.4z SFD #2",0.869533,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
23,48756900,48810867,48943928,48912926,48928804,48928806,48943928,48808819,48948024,"decoded_payload_last_chip",1,66.203975,66.384451,136,1.537820,-237.862669,"IEEE 802.15.4z SFD #2",0.865764,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
24,50967700,51021584,51154645,51123643,51139522,51139523,51154645,51019536,51158741,"decoded_payload_last_chip",1,69.202452,69.382928,136,0.000000,-227.354910,"IEEE 802.15.4z SFD #2",0.879650,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
25,53153836,53233890,53366952,53335949,53351828,53351829,53366952,53231842,53371048,"decoded_payload_last_chip",1,72.203084,72.383561,136,0.000000,-134.157435,"IEEE 802.15.4z SFD #2",0.880004,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
26,55401400,55455378,55588439,55557437,55573315,55573317,55588439,55453330,55592535,"decoded_payload_last_chip",1,75.216170,75.396646,136,0.000000,-163.619923,"IEEE 802.15.4z SFD #2",0.879506,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
27,57603600,57657576,57790638,57759635,57775514,57775515,57790638,57655528,57794734,"decoded_payload_last_chip",1,78.203092,78.383569,136,0.000000,-181.799161,"IEEE 802.15.4z SFD #2",0.879314,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
28,59815100,59869062,60002124,59971122,59987000,59987002,60002124,59867014,60006220,"decoded_payload_last_chip",1,81.202612,81.383089,136,1.831297,-101.122511,"IEEE 802.15.4z SFD #2",0.861912,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
29,62026400,62080323,62213384,62182382,62198261,62198262,62213384,62078275,62217480,"decoded_payload_last_chip",1,84.201827,84.382303,136,0.000000,-125.140323,"IEEE 802.15.4z SFD #2",0.878750,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
30,64253300,64307299,64440360,64409358,64425236,64425237,64440360,64305251,64444456,"decoded_payload_last_chip",1,87.222356,87.402832,136,0.000000,-199.706220,"IEEE 802.15.4z SFD #2",0.879157,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
31,66430900,66504405,66637466,66606464,66622343,66622344,66637466,66502357,66641562,"decoded_payload_last_chip",1,90.202372,90.382848,136,0.936779,-166.697087,"IEEE 802.15.4z SFD #2",0.871729,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
32,68662700,68716569,68849630,68818628,68834507,68834508,68849630,68714521,68853726,"decoded_payload_last_chip",1,93.202812,93.383287,136,0.000000,-176.198550,"IEEE 802.15.4z SFD #2",0.878447,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
33,70875500,70929744,71062806,71031804,71047682,71047683,71062806,70927696,71066902,"decoded_payload_last_chip",1,96.204622,96.385099,136,0.000000,-101.341528,"IEEE 802.15.4z SFD #2",0.879226,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
34,73085800,73139777,73272838,73241836,73257715,73257716,73272838,73137729,73276934,"decoded_payload_last_chip",1,99.202171,99.382647,136,0.000000,-179.589722,"IEEE 802.15.4z SFD #2",0.878851,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
35,75295500,75352509,75485570,75454568,75470447,75470448,75485570,75350461,75489666,"decoded_payload_last_chip",1,102.203381,102.383857,136,0.629215,-120.693409,"IEEE 802.15.4z SFD #2",0.873420,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
36,77510300,77574232,77707293,77676291,77692170,77692171,77707293,77572184,77711389,"decoded_payload_last_chip",1,105.216786,105.397262,136,0.000000,-125.268168,"IEEE 802.15.4z SFD #2",0.878679,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
37,79722500,79776437,79909498,79878496,79894375,79894376,79909498,79774389,79913594,"decoded_payload_last_chip",1,108.203718,108.384193,136,0.000000,-267.815555,"IEEE 802.15.4z SFD #2",0.877972,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
38,81929200,81987084,82120145,82089143,82105021,82105023,82120145,81985036,82124241,"decoded_payload_last_chip",1,111.202100,111.382575,136,0.000000,-185.959230,"IEEE 802.15.4z SFD #2",0.878691,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
39,84145800,84199756,84332818,84301816,84317694,84317695,84332818,84197708,84336914,"decoded_payload_last_chip",1,114.203228,114.383705,136,0.000000,-105.798922,"IEEE 802.15.4z SFD #2",0.878472,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
40,86346620,86419076,86552137,86521135,86537013,86537015,86552137,86417028,86556233,"decoded_payload_last_chip",1,117.213373,117.393849,136,0.000000,-205.892154,"IEEE 802.15.4z SFD #2",0.878523,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
41,88569700,88623614,88756675,88725673,88741551,88741553,88756675,88621566,88760771,"decoded_payload_last_chip",1,120.203470,120.383945,136,0.000000,-64.760575,"IEEE 802.15.4z SFD #2",0.878269,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
42,90781100,90835082,90968143,90937141,90953019,90953020,90968143,90833034,90972239,"decoded_payload_last_chip",1,123.202965,123.383440,136,0.000000,-169.806468,"IEEE 802.15.4z SFD #2",0.878328,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
43,92991300,93047684,93180745,93149743,93165621,93165623,93180745,93045636,93184841,"decoded_payload_last_chip",1,126.203998,126.384474,136,0.000000,-234.049091,"IEEE 802.15.4z SFD #2",0.878249,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
44,95204900,95258898,95391959,95360957,95376836,95376837,95391959,95256850,95396055,"decoded_payload_last_chip",1,129.203149,129.383625,136,2.404165,-157.817555,"IEEE 802.15.4z SFD #2",0.857102,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
45,97416600,97470566,97603627,97572625,97588504,97588505,97603627,97468518,97607723,"decoded_payload_last_chip",1,132.202916,132.383392,136,0.000000,-129.877328,"IEEE 802.15.4z SFD #2",0.878003,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
46,99638900,99692856,99825918,99794916,99810794,99810795,99825918,99690808,99830014,"decoded_payload_last_chip",1,135.217090,135.397567,136,0.000000,-210.430524,"IEEE 802.15.4z SFD #2",0.877717,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
47,101841000,101894914,102027975,101996973,102012851,102012853,102027975,101892866,102032071,"decoded_payload_last_chip",1,138.203822,138.384298,136,0.000000,-147.259838,"IEEE 802.15.4z SFD #2",0.877524,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
48,104051800,104105761,104238822,104207820,104223698,104223700,104238822,104103713,104242918,"decoded_payload_last_chip",1,141.202475,141.382951,136,0.000000,-75.190644,"IEEE 802.15.4z SFD #2",0.877937,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
49,106259000,106317974,106451035,106420033,106435911,106435913,106451035,106315926,106455131,"decoded_payload_last_chip",1,144.202981,144.383457,136,1.239648,-104.363421,"IEEE 802.15.4z SFD #2",0.866838,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
50,108484100,108538042,108671104,108640101,108655980,108655981,108671104,108535994,108675200,"decoded_payload_last_chip",1,147.214141,147.394618,136,0.000000,-75.393436,"IEEE 802.15.4z SFD #2",0.877758,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
51,110685200,110741139,110874200,110843198,110859077,110859078,110874200,110739091,110878296,"decoded_payload_last_chip",1,150.202283,150.382758,136,0.000000,-191.533262,"IEEE 802.15.4z SFD #2",0.877471,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
52,112899600,112953546,113086607,113055605,113071484,113071485,113086607,112951498,113090703,"decoded_payload_last_chip",1,153.203052,153.383527,136,0.000000,-220.695065,"IEEE 802.15.4z SFD #2",0.877408,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
53,115113100,115167099,115300160,115269158,115285037,115285038,115300160,115165051,115304256,"decoded_payload_last_chip",1,156.205375,156.385851,136,0.000000,-299.362887,"IEEE 802.15.4z SFD #2",0.877224,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
54,117316600,117377362,117510423,117479421,117495300,117495301,117510423,117375314,117514519,"decoded_payload_last_chip",1,159.203236,159.383712,136,0.000000,-233.709710,"IEEE 802.15.4z SFD #2",0.877543,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
55,119534300,119588216,119721277,119690275,119706153,119706155,119721277,119586168,119725373,"decoded_payload_last_chip",1,162.201899,162.382374,136,0.629215,-255.396494,"IEEE 802.15.4z SFD #2",0.872235,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
56,121757500,121812001,121945062,121914060,121929938,121929940,121945062,121809953,121949158,"decoded_payload_last_chip",1,165.218100,165.398576,136,0.000000,-81.093013,"IEEE 802.15.4z SFD #2",0.877189,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
57,123958400,124012303,124145364,124114362,124130241,124130242,124145364,124010255,124149460,"decoded_payload_last_chip",1,168.202451,168.382926,136,0.000000,-188.968489,"IEEE 802.15.4z SFD #2",0.876685,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
58,126170200,126224190,126357252,126326249,126342128,126342129,126357252,126222142,126361348,"decoded_payload_last_chip",1,171.202515,171.382992,136,-0.000000,-131.046132,"IEEE 802.15.4z SFD #2",0.876700,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
59,128383500,128437419,128570480,128539478,128555356,128555358,128570480,128435371,128574576,"decoded_payload_last_chip",1,174.204399,174.384874,136,-0.000000,-143.924223,"IEEE 802.15.4z SFD #2",0.876403,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
60,130601700,130656678,130789740,130758738,130774616,130774617,130789740,130654630,130793836,"decoded_payload_last_chip",1,177.214461,177.394938,136,0.000000,-110.440177,"IEEE 802.15.4z SFD #2",0.876439,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
61,132805700,132859645,132992707,132961704,132977583,132977584,132992707,132857597,132996803,"decoded_payload_last_chip",1,180.202426,180.382903,136,0.000000,-283.824938,"IEEE 802.15.4z SFD #2",0.876525,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
62,135016920,135071651,135204713,135173710,135189589,135189590,135204713,135069603,135208809,"decoded_payload_last_chip",1,183.202652,183.383129,136,2.404165,-210.769401,"IEEE 802.15.4z SFD #2",0.857395,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
63,137230500,137284477,137417538,137386536,137402415,137402416,137417538,137282429,137421634,"decoded_payload_last_chip",1,186.203989,186.384465,136,0.000000,-110.432672,"IEEE 802.15.4z SFD #2",0.876440,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
64,139441700,139495632,139628693,139597691,139613570,139613571,139628693,139493584,139632789,"decoded_payload_last_chip",1,189.203060,189.383535,136,0.000000,-181.901147,"IEEE 802.15.4z SFD #2",0.876668,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
65,141624696,141706840,141839901,141808899,141824777,141824778,141839901,141704792,141843997,"decoded_payload_last_chip",1,192.202203,192.382678,136,0.000000,-221.203842,"IEEE 802.15.4z SFD #2",0.876222,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
66,143871636,143929887,144062948,144031946,144047824,144047826,144062948,143927839,144067044,"decoded_payload_last_chip",1,195.217403,195.397879,136,0.000000,-186.521245,"IEEE 802.15.4z SFD #2",0.876242,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
67,146077500,146131501,146264562,146233560,146249438,146249440,146264562,146129453,146268658,"decoded_payload_last_chip",1,198.203533,198.384009,136,1.239648,-190.670464,"IEEE 802.15.4z SFD #2",0.866714,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
68,148287200,148342514,148475575,148444573,148460452,148460453,148475575,148340466,148479671,"decoded_payload_last_chip",1,201.202412,201.382887,136,3.228249,-216.559498,"IEEE 802.15.4z SFD #2",0.847584,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
69,150483284,150554761,150687822,150656820,150672699,150672700,150687822,150552713,150691918,"decoded_payload_last_chip",1,204.202964,204.383439,136,0.316955,-121.512322,"IEEE 802.15.4z SFD #2",0.873791,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
70,152709600,152770612,152903674,152872672,152888550,152888551,152903674,152768564,152907770,"decoded_payload_last_chip",1,207.208404,207.388881,136,0.000000,-325.256175,"IEEE 802.15.4z SFD #2",0.875977,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
71,154925000,154978967,155112028,155081026,155096904,155096906,155112028,154976919,155116124,"decoded_payload_last_chip",1,210.203677,210.384153,136,0.000000,-172.445473,"IEEE 802.15.4z SFD #2",0.876248,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
72,157135400,157189365,157322426,157291424,157307303,157307304,157322426,157187317,157326522,"decoded_payload_last_chip",1,213.201721,213.382197,136,0.000000,-174.014541,"IEEE 802.15.4z SFD #2",0.875843,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
73,159349100,159410675,159543736,159512734,159528613,159528614,159543736,159408627,159547832,"decoded_payload_last_chip",1,216.214566,216.395041,136,0.000000,-194.169452,"IEEE 802.15.4z SFD #2",0.875798,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
74,161557888,161613583,161746644,161715642,161731520,161731522,161746644,161611535,161750740,"decoded_payload_last_chip",1,219.202451,219.382926,136,0.000000,-161.432909,"IEEE 802.15.4z SFD #2",0.876159,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
75,163771800,163825777,163958838,163927836,163943715,163943716,163958838,163823729,163962934,"decoded_payload_last_chip",1,222.202931,222.383407,136,0.000000,-155.782798,"IEEE 802.15.4z SFD #2",0.875751,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
